Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence,NPV,IRR,payback_months
Mahihkan Battery 02-21,ABWI102142906604W400,3,2024-11-01,8,False,harmonic,510.8212137359311,0.5034307656303106,1.0,0.514649368000514,False,,1863.3198575794804,2,420019.83597651555,276625195.3001898,1.0
Mahihkan Battery 02-21,ABWI102142906604W400,4,2025-07-01,7,False,exponential,563.7873063717576,0.3154827786850177,0.0,0.5031235298274075,False,,1854.7934618818024,3,419792.2967652597,,1.0
Mahihkan Battery 02-21,ABWI102150406604W400,3,2023-12-01,10,False,exponential,1727.954140318098,1.1611122985902016,0.0,0.9990572269505904,False,,2515.6984710551037,1,649809.6566345784,,0.0
Mahihkan Battery 02-21,ABWI102150406604W400,5,2025-07-01,6,False,harmonic,1359.507481435849,0.5835304320456915,1.0,0.6737727671922489,False,,4094.4246284213255,2,1169591.775063782,,0.0
Mahihkan Battery 02-21,ABWI102150406604W400,6,2026-01-01,6,False,exponential,2858.75603657622,0.4010551173537233,0.0,0.8278340078655354,False,,7872.747306271826,3,2439017.636570116,,0.0
Mahihkan Battery 02-21,ABWI102150906604W400,6,2024-10-01,12,False,exponential,261.6170724358983,0.0634669887054721,0.0,0.7336324641262564,False,,2267.889301792869,1,540659.2682072378,523.3998659917564,2.0
Mahihkan Battery 02-21,ABWI102151406504W400,4,2025-02-01,11,False,exponential,150.18617097850913,0.0967447515394935,0.0,0.5284956217055733,False,,1066.787897774309,1,150317.46044264364,7.788796832519241,4.0
Mahihkan Battery 02-21,ABWI102151506504W400,1,2023-01-01,7,False,exponential,124.48500533824948,0.1199791371335101,0.0,0.5121257918634434,False,,625.641312089669,1,7918.062792308101,0.32886326072637617,6.0
Mahihkan Battery 02-21,ABWI102151506604W400,1,2023-01-01,20,False,exponential,1216.928743548141,0.0970363498422082,0.0,0.8489317442714935,False,,11269.597409899849,1,3432696.370058803,,0.0
Mahihkan Battery 02-21,ABWI102151606604W400,5,2025-11-01,8,False,exponential,236.4447380497268,0.1796478621355148,0.0,0.6920220327355802,False,,1096.2733832860513,1,164151.35259006923,45.71036859265633,2.0
Mahihkan Battery 02-21,ABWI102152006604W400,1,2022-07-01,11,False,harmonic,471.6803419501801,0.1373478072409092,1.0,0.649702837147583,False,,3308.011528276141,1,885553.3586212065,52918801.49508914,1.0
Mahihkan Battery 02-21,ABWI102152106604W400,1,2022-09-01,9,False,harmonic,200.6572701475296,0.5146272991923595,1.0,0.6252530534367313,False,,764.5604357683953,1,53859.56984665116,2.816903193917546,5.0
Mahihkan Battery 02-21,ABWI102152106604W400,3,2023-10-01,9,False,exponential,264.3711170928533,0.230957375511522,0.0,0.8596170565132526,False,,1121.5688706107978,2,172639.18999513166,73.7467898699959,2.0
