Battery,FromToID,cycle_number,cycle_start,duration_months,short_cycle,model,qi,Di,b,r_squared,low_confidence,low_confidence_reason,EUR,hc_sequence
Nabiye 11-23,ABWI102092506603W400,1,2022-12-01,7,False,exponential,1398.7643397026686,0.4616416630922553,0.0,0.9381930376698252,False,,2910.298835359211,1
Nabiye 11-23,ABWI102092506603W400,4,2024-05-01,9,False,harmonic,1919.2088010694476,0.5382214188153926,1.0,0.9149948664398598,False,,6295.17603790871,2
Nabiye 11-23,ABWI102092606603W400,1,2022-08-01,11,False,exponential,487.4847487726223,0.1869173539836929,0.0,0.9047989155262042,False,,2274.3181294501323,1
Nabiye 11-23,ABWI102092606603W400,3,2024-01-01,8,False,harmonic,206.15798386685185,0.1441032428833928,1.0,0.565015191592785,False,,1096.9780998096212,2
Nabiye 11-23,ABWI102100706602W402,2,2023-03-01,8,False,exponential,827.214572766405,0.3955855326407784,0.0,0.8437535425872763,False,,2002.8118490615661,1
Nabiye 11-23,ABWI102100706602W402,4,2024-04-01,6,False,exponential,318.5004286056035,0.7439695496935972,0.0,0.6680262870166094,False,,423.17839745610036,2
Nabiye 11-23,ABWI102100706602W402,6,2025-07-01,12,False,exponential,282.7116623459071,0.0732573421166433,0.0,0.9195772532648824,False,,2256.9848966166683,3
Nabiye 11-23,ABWI102101206603W400,2,2022-11-01,6,False,exponential,171.12108142442145,0.3092207882044361,0.0,0.7427153787916914,False,,466.8424069687392,1
Nabiye 11-23,ABWI102101206603W400,6,2025-01-01,7,False,harmonic,61.8785187375416,0.2526602481716216,1.0,0.937810440755037,False,,249.40198162981304,2
Nabiye 11-23,ABWI102101306603W400,2,2023-03-01,8,False,exponential,345.12927233857977,0.3066590148813834,0.0,0.8884221284593198,False,,1028.6478034234742,1
Nabiye 11-23,ABWI102101306603W400,7,2025-08-01,11,False,exponential,164.33897706877178,0.2336665170126405,0.0,0.6763076929833333,False,,649.495601502952,2
Nabiye 11-23,ABWI102103506603W402,1,2024-02-01,9,False,harmonic,3607.6536607207936,1.0480858721583763,1.0,0.744044531682929,False,,8071.642987817175,1
