ProductionMonth,ReportingFacilityID,FromToID,ProductID,Volume,IsInjector
2022-01,ABBT0051212,ABWI100142706504W400,GAS,16.0,False
2022-01,ABBT0051212,ABWI100142706604W400,GAS,16.3,False
2022-01,ABBT0051212,ABWI100142806604W400,GAS,0.8,False
2022-01,ABBT0051212,ABWI100142906604W400,GAS,18.0,False
2022-01,ABBT0051212,ABWI100143406504W400,GAS,7.4,False
2022-01,ABBT0051212,ABWI100150406604W400,GAS,15.3,False
2022-01,ABBT0051212,ABWI100151006504W400,GAS,5.4,False
2022-01,ABBT0051212,ABWI100151506504W400,GAS,1.2,False
2022-01,ABBT0051212,ABWI100151506604W400,GAS,17.0,False
2022-01,ABBT0051212,ABWI100151606504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI100152006604W400,GAS,27.8,False
2022-01,ABBT0051212,ABWI100152106604W400,GAS,7.2,False
2022-01,ABBT0051212,ABWI100152706504W400,GAS,20.7,False
2022-01,ABBT0051212,ABWI100152806504W400,GAS,18.6,False
2022-01,ABBT0051212,ABWI100152806604W400,GAS,12.1,False
2022-01,ABBT0051212,ABWI100153306504W400,GAS,26.4,False
2022-01,ABBT0051212,ABWI100160406604W400,GAS,37.0,False
2022-01,ABBT0051212,ABWI100161006504W402,GAS,53.3,False
2022-01,ABBT0051212,ABWI100161006604W400,GAS,16.9,False
2022-01,ABBT0051212,ABWI100161506504W400,GAS,18.1,False
2022-01,ABBT0051212,ABWI100161606504W400,GAS,10.2,False
2022-01,ABBT0051212,ABWI100161606604W400,GAS,7.6,False
2022-01,ABBT0051212,ABWI100162706504W400,GAS,9.7,False
2022-01,ABBT0051212,ABWI100162806504W400,GAS,52.1,False
2022-01,ABBT0051212,ABWI100162906504W400,GAS,4.8,False
2022-01,ABBT0051212,ABWI100163306504W400,GAS,29.4,False
2022-01,ABBT0051212,ABWI102010806604W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI102011606604W400,GAS,12.0,False
2022-01,ABBT0051212,ABWI102012106504W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI102012106604W400,GAS,8.1,False
2022-01,ABBT0051212,ABWI102012206504W400,GAS,22.9,False
2022-01,ABBT0051212,ABWI102012906504W400,GAS,26.1,False
2022-01,ABBT0051212,ABWI102013306504W403,GAS,21.9,False
2022-01,ABBT0051212,ABWI102020306604W400,GAS,2.0,False
2022-01,ABBT0051212,ABWI102020906604W400,GAS,13.4,False
2022-01,ABBT0051212,ABWI102021506504W400,GAS,9.9,False
2022-01,ABBT0051212,ABWI102021606604W400,GAS,14.2,False
2022-01,ABBT0051212,ABWI102022006604W400,GAS,12.8,False
2022-01,ABBT0051212,ABWI102022106504W400,GAS,20.6,False
2022-01,ABBT0051212,ABWI102022206604W400,GAS,15.7,False
2022-01,ABBT0051212,ABWI102022606504W400,GAS,1.8,False
2022-01,ABBT0051212,ABWI102022906604W400,GAS,28.2,False
2022-01,ABBT0051212,ABWI102023406504W400,GAS,2.4,False
2022-01,ABBT0051212,ABWI102023506504W400,GAS,6.3,False
2022-01,ABBT0051212,ABWI102031506504W400,GAS,8.9,False
2022-01,ABBT0051212,ABWI102032106604W400,GAS,12.4,False
2022-01,ABBT0051212,ABWI102032206504W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI102032306504W400,GAS,11.8,False
2022-01,ABBT0051212,ABWI102032706604W400,GAS,31.2,False
2022-01,ABBT0051212,ABWI102032806504W400,GAS,14.1,False
2022-01,ABBT0051212,ABWI102032806604W400,GAS,8.9,False
2022-01,ABBT0051212,ABWI102033406504W400,GAS,3.3,False
2022-01,ABBT0051212,ABWI102033406604W400,GAS,67.6,False
2022-01,ABBT0051212,ABWI102040306604W400,GAS,25.6,False
2022-01,ABBT0051212,ABWI102041506604W400,GAS,16.5,False
2022-01,ABBT0051212,ABWI102041606604W400,GAS,31.8,False
2022-01,ABBT0051212,ABWI102042206504W400,GAS,12.9,False
2022-01,ABBT0051212,ABWI102042306504W400,GAS,12.3,False
2022-01,ABBT0051212,ABWI102043306604W400,GAS,12.8,False
2022-01,ABBT0051212,ABWI102050306604W400,GAS,10.5,False
2022-01,ABBT0051212,ABWI102050906504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI102051606604W400,GAS,70.8,False
2022-01,ABBT0051212,ABWI102052206504W402,GAS,11.7,False
2022-01,ABBT0051212,ABWI102052306504W400,GAS,1.1,False
2022-01,ABBT0051212,ABWI102052606504W400,GAS,16.4,False
2022-01,ABBT0051212,ABWI102052706504W400,GAS,11.5,False
2022-01,ABBT0051212,ABWI102052806504W400,GAS,31.9,False
2022-01,ABBT0051212,ABWI102053306604W400,GAS,0.6,False
2022-01,ABBT0051212,ABWI102053406504W400,GAS,23.8,False
2022-01,ABBT0051212,ABWI102053506504W400,GAS,18.4,False
2022-01,ABBT0051212,ABWI102060306604W400,GAS,4.0,False
2022-01,ABBT0051212,ABWI102061506504W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI102062106604W400,GAS,4.2,False
2022-01,ABBT0051212,ABWI102062206504W400,GAS,1.5,False
2022-01,ABBT0051212,ABWI102062706504W400,GAS,10.2,False
2022-01,ABBT0051212,ABWI102062706604W400,GAS,23.8,False
2022-01,ABBT0051212,ABWI102062806504W400,GAS,10.3,False
2022-01,ABBT0051212,ABWI102062806604W400,GAS,9.1,False
2022-01,ABBT0051212,ABWI102063206604W400,GAS,5.7,False
2022-01,ABBT0051212,ABWI102063306604W400,GAS,9.7,False
2022-01,ABBT0051212,ABWI102063406504W400,GAS,8.3,False
2022-01,ABBT0051212,ABWI102063506504W400,GAS,12.7,False
2022-01,ABBT0051212,ABWI102071506504W400,GAS,14.6,False
2022-01,ABBT0051212,ABWI102072106504W400,GAS,10.0,False
2022-01,ABBT0051212,ABWI102072106604W400,GAS,5.5,False
2022-01,ABBT0051212,ABWI102072206504W400,GAS,20.9,False
2022-01,ABBT0051212,ABWI102072206604W400,GAS,11.4,False
2022-01,ABBT0051212,ABWI102072306504W400,GAS,0.6,False
2022-01,ABBT0051212,ABWI102072706504W400,GAS,3.3,False
2022-01,ABBT0051212,ABWI102072806504W400,GAS,25.1,False
2022-01,ABBT0051212,ABWI102072806604W400,GAS,10.3,False
2022-01,ABBT0051212,ABWI102072906504W400,GAS,1.8,False
2022-01,ABBT0051212,ABWI102073406504W400,GAS,18.6,False
2022-01,ABBT0051212,ABWI102073506504W400,GAS,1.1,False
2022-01,ABBT0051212,ABWI102080306604W400,GAS,3.9,False
2022-01,ABBT0051212,ABWI102080406604W400,GAS,22.4,False
2022-01,ABBT0051212,ABWI102080506604W400,GAS,2.5,False
2022-01,ABBT0051212,ABWI102082806504W400,GAS,18.0,False
2022-01,ABBT0051212,ABWI102082906504W400,GAS,13.5,False
2022-01,ABBT0051212,ABWI102083406504W400,GAS,22.7,False
2022-01,ABBT0051212,ABWI102090406604W400,GAS,16.8,False
2022-01,ABBT0051212,ABWI102092106504W400,GAS,1.0,False
2022-01,ABBT0051212,ABWI102092806504W400,GAS,16.4,False
2022-01,ABBT0051212,ABWI102092906504W400,GAS,2.6,False
2022-01,ABBT0051212,ABWI102093306504W400,GAS,15.5,False
2022-01,ABBT0051212,ABWI102100406604W400,GAS,48.2,False
2022-01,ABBT0051212,ABWI102101006504W400,GAS,2.7,False
2022-01,ABBT0051212,ABWI102101506504W400,GAS,3.0,False
2022-01,ABBT0051212,ABWI102101506604W400,GAS,35.8,False
2022-01,ABBT0051212,ABWI102101606604W400,GAS,9.3,False
2022-01,ABBT0051212,ABWI102102106604W400,GAS,4.8,False
2022-01,ABBT0051212,ABWI102102206604W400,GAS,15.4,False
2022-01,ABBT0051212,ABWI102102606504W400,GAS,1.7,False
2022-01,ABBT0051212,ABWI102102706504W400,GAS,2.6,False
2022-01,ABBT0051212,ABWI102102806504W400,GAS,5.5,False
2022-01,ABBT0051212,ABWI102102906504W400,GAS,0.5,False
2022-01,ABBT0051212,ABWI102103406504W400,GAS,0.5,False
2022-01,ABBT0051212,ABWI102110306604W400,GAS,2.8,False
2022-01,ABBT0051212,ABWI102111506504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI102112106604W400,GAS,7.9,False
2022-01,ABBT0051212,ABWI102112806504W400,GAS,8.0,False
2022-01,ABBT0051212,ABWI102112806604W400,GAS,12.5,False
2022-01,ABBT0051212,ABWI102112906504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI102112906604W400,GAS,17.8,False
2022-01,ABBT0051212,ABWI102113406504W400,GAS,5.6,False
2022-01,ABBT0051212,ABWI102120306604W400,GAS,13.3,False
2022-01,ABBT0051212,ABWI102121506504W400,GAS,7.2,False
2022-01,ABBT0051212,ABWI102121506604W400,GAS,8.4,False
2022-01,ABBT0051212,ABWI102122706504W400,GAS,11.6,False
2022-01,ABBT0051212,ABWI102122806504W400,GAS,5.7,False
2022-01,ABBT0051212,ABWI102122806604W400,GAS,11.2,False
2022-01,ABBT0051212,ABWI102123406504W400,GAS,36.0,False
2022-01,ABBT0051212,ABWI102123506504W400,GAS,17.7,False
2022-01,ABBT0051212,ABWI102130306604W400,GAS,8.5,False
2022-01,ABBT0051212,ABWI102131406504W400,GAS,2.1,False
2022-01,ABBT0051212,ABWI102131506504W400,GAS,4.7,False
2022-01,ABBT0051212,ABWI102132606504W400,GAS,30.3,False
2022-01,ABBT0051212,ABWI102132806504W400,GAS,5.7,False
2022-01,ABBT0051212,ABWI102132806604W400,GAS,20.4,False
2022-01,ABBT0051212,ABWI102133406504W400,GAS,7.8,False
2022-01,ABBT0051212,ABWI102133506504W400,GAS,11.9,False
2022-01,ABBT0051212,ABWI102141006504W400,GAS,15.4,False
2022-01,ABBT0051212,ABWI102141606604W400,GAS,7.5,False
2022-01,ABBT0051212,ABWI102142106604W400,GAS,14.3,False
2022-01,ABBT0051212,ABWI102142606504W400,GAS,3.9,False
2022-01,ABBT0051212,ABWI102142706604W400,GAS,4.5,False
2022-01,ABBT0051212,ABWI102142806504W400,GAS,1.7,False
2022-01,ABBT0051212,ABWI102142806604W400,GAS,23.1,False
2022-01,ABBT0051212,ABWI102142906504W400,GAS,5.2,False
2022-01,ABBT0051212,ABWI102142906604W400,GAS,20.9,False
2022-01,ABBT0051212,ABWI102143406504W400,GAS,11.9,False
2022-01,ABBT0051212,ABWI102150406604W400,GAS,4.5,False
2022-01,ABBT0051212,ABWI102150906604W400,GAS,16.0,False
2022-01,ABBT0051212,ABWI102151406504W400,GAS,13.4,False
2022-01,ABBT0051212,ABWI102151506504W400,GAS,6.0,False
2022-01,ABBT0051212,ABWI102151506604W400,GAS,18.3,False
2022-01,ABBT0051212,ABWI102151606604W400,GAS,5.8,False
2022-01,ABBT0051212,ABWI102152006604W400,GAS,32.5,False
2022-01,ABBT0051212,ABWI102152106504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI102152106604W400,GAS,7.5,False
2022-01,ABBT0051212,ABWI102152706504W400,GAS,25.3,False
2022-01,ABBT0051212,ABWI102152806504W400,GAS,14.2,False
2022-01,ABBT0051212,ABWI102153406504W400,GAS,13.5,False
2022-01,ABBT0051212,ABWI102160506604W400,GAS,3.5,False
2022-01,ABBT0051212,ABWI102160906604W400,GAS,8.3,False
2022-01,ABBT0051212,ABWI102161006504W402,GAS,54.0,False
2022-01,ABBT0051212,ABWI102161006604W400,GAS,51.2,False
2022-01,ABBT0051212,ABWI102161506504W400,GAS,6.3,False
2022-01,ABBT0051212,ABWI102161606504W400,GAS,2.7,False
2022-01,ABBT0051212,ABWI102162906504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI102163306504W400,GAS,12.6,False
2022-01,ABBT0051212,ABWI103010306604W400,GAS,5.1,False
2022-01,ABBT0051212,ABWI103010406604W400,GAS,9.2,False
2022-01,ABBT0051212,ABWI103010806604W400,GAS,1.9,False
2022-01,ABBT0051212,ABWI103011506504W400,GAS,10.3,False
2022-01,ABBT0051212,ABWI103011606604W400,GAS,9.0,False
2022-01,ABBT0051212,ABWI103012106504W400,GAS,8.8,False
2022-01,ABBT0051212,ABWI103012206504W400,GAS,27.0,False
2022-01,ABBT0051212,ABWI103013306504W400,GAS,19.9,False
2022-01,ABBT0051212,ABWI103013406504W400,GAS,12.7,False
2022-01,ABBT0051212,ABWI103020306604W400,GAS,3.8,False
2022-01,ABBT0051212,ABWI103020806504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI103021506504W400,GAS,9.9,False
2022-01,ABBT0051212,ABWI103022206504W400,GAS,15.3,False
2022-01,ABBT0051212,ABWI103022206604W400,GAS,11.1,False
2022-01,ABBT0051212,ABWI103023406504W400,GAS,11.4,False
2022-01,ABBT0051212,ABWI103031506504W400,GAS,1.4,False
2022-01,ABBT0051212,ABWI103032206504W400,GAS,2.9,False
2022-01,ABBT0051212,ABWI103032306504W400,GAS,0.6,False
2022-01,ABBT0051212,ABWI103032706604W400,GAS,78.2,False
2022-01,ABBT0051212,ABWI103032806504W400,GAS,3.5,False
2022-01,ABBT0051212,ABWI103033406504W400,GAS,30.4,False
2022-01,ABBT0051212,ABWI103033506504W400,GAS,13.7,False
2022-01,ABBT0051212,ABWI103040306604W400,GAS,9.4,False
2022-01,ABBT0051212,ABWI103042306504W400,GAS,7.1,False
2022-01,ABBT0051212,ABWI103042706504W400,GAS,27.1,False
2022-01,ABBT0051212,ABWI103042806504W400,GAS,1.1,False
2022-01,ABBT0051212,ABWI103043306504W400,GAS,2.5,False
2022-01,ABBT0051212,ABWI103043406504W400,GAS,2.9,False
2022-01,ABBT0051212,ABWI103043506504W400,GAS,4.7,False
2022-01,ABBT0051212,ABWI103050306604W400,GAS,19.1,False
2022-01,ABBT0051212,ABWI103052206504W400,GAS,5.6,False
2022-01,ABBT0051212,ABWI103052306504W400,GAS,0.5,False
2022-01,ABBT0051212,ABWI103052606504W400,GAS,45.0,False
2022-01,ABBT0051212,ABWI103052806504W400,GAS,18.4,False
2022-01,ABBT0051212,ABWI103053406504W400,GAS,25.8,False
2022-01,ABBT0051212,ABWI103053506504W400,GAS,21.0,False
2022-01,ABBT0051212,ABWI103060306604W400,GAS,3.0,False
2022-01,ABBT0051212,ABWI103060906604W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI103061506504W400,GAS,0.1,False
2022-01,ABBT0051212,ABWI103062106504W400,GAS,12.3,False
2022-01,ABBT0051212,ABWI103062106604W400,GAS,8.0,False
2022-01,ABBT0051212,ABWI103062206504W400,GAS,10.7,False
2022-01,ABBT0051212,ABWI103062606504W400,GAS,9.2,False
2022-01,ABBT0051212,ABWI103062806504W400,GAS,17.9,False
2022-01,ABBT0051212,ABWI103062806604W400,GAS,12.8,False
2022-01,ABBT0051212,ABWI103063406504W400,GAS,21.3,False
2022-01,ABBT0051212,ABWI103063506504W400,GAS,6.1,False
2022-01,ABBT0051212,ABWI103071506504W400,GAS,3.8,False
2022-01,ABBT0051212,ABWI103072006604W400,GAS,74.7,False
2022-01,ABBT0051212,ABWI103072106604W400,GAS,8.2,False
2022-01,ABBT0051212,ABWI103072206504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI103072806504W400,GAS,30.1,False
2022-01,ABBT0051212,ABWI103072806604W400,GAS,14.4,False
2022-01,ABBT0051212,ABWI103072906504W400,GAS,1.5,False
2022-01,ABBT0051212,ABWI103073406504W400,GAS,2.3,False
2022-01,ABBT0051212,ABWI103080406604W400,GAS,17.2,False
2022-01,ABBT0051212,ABWI103080506604W400,GAS,1.0,False
2022-01,ABBT0051212,ABWI103081606604W400,GAS,12.7,False
2022-01,ABBT0051212,ABWI103082806504W400,GAS,20.8,False
2022-01,ABBT0051212,ABWI103082906504W400,GAS,22.8,False
2022-01,ABBT0051212,ABWI103090406604W400,GAS,34.5,False
2022-01,ABBT0051212,ABWI103090506604W400,GAS,3.4,False
2022-01,ABBT0051212,ABWI103091006504W400,GAS,0.7,False
2022-01,ABBT0051212,ABWI103091506504W400,GAS,2.2,False
2022-01,ABBT0051212,ABWI103091606504W400,GAS,17.8,False
2022-01,ABBT0051212,ABWI103091606604W400,GAS,15.7,False
2022-01,ABBT0051212,ABWI103092806504W400,GAS,18.6,False
2022-01,ABBT0051212,ABWI103093406504W400,GAS,9.7,False
2022-01,ABBT0051212,ABWI103101006504W400,GAS,8.9,False
2022-01,ABBT0051212,ABWI103102106504W400,GAS,0.2,False
2022-01,ABBT0051212,ABWI103102706504W400,GAS,6.0,False
2022-01,ABBT0051212,ABWI103102806504W400,GAS,17.9,False
2022-01,ABBT0051212,ABWI103103406504W400,GAS,10.0,False
2022-01,ABBT0051212,ABWI103110306604W400,GAS,3.4,False
2022-01,ABBT0051212,ABWI103111006504W400,GAS,6.7,False
2022-01,ABBT0051212,ABWI103111506504W400,GAS,1.6,False
2022-01,ABBT0051212,ABWI103112106604W400,GAS,8.4,False
2022-01,ABBT0051212,ABWI103112206504W400,GAS,5.6,False
2022-01,ABBT0051212,ABWI103112606504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI103112706504W400,GAS,9.9,False
2022-01,ABBT0051212,ABWI103112806504W400,GAS,2.1,False
2022-01,ABBT0051212,ABWI103113406504W400,GAS,6.2,False
2022-01,ABBT0051212,ABWI103113506504W400,GAS,21.9,False
2022-01,ABBT0051212,ABWI103120306604W400,GAS,13.7,False
2022-01,ABBT0051212,ABWI103120406604W400,GAS,3.8,False
2022-01,ABBT0051212,ABWI103121506504W400,GAS,2.5,False
2022-01,ABBT0051212,ABWI103122206504W400,GAS,0.3,False
2022-01,ABBT0051212,ABWI103122706504W400,GAS,4.2,False
2022-01,ABBT0051212,ABWI103122806504W400,GAS,1.7,False
2022-01,ABBT0051212,ABWI103123406504W400,GAS,22.2,False
2022-01,ABBT0051212,ABWI103123506504W400,GAS,14.2,False
2022-01,ABBT0051212,ABWI103130306604W400,GAS,11.1,False
